4870612|Zachariah Branch|WR|302|170.9|5.4|82.5
4723820|Omar Cooper Jr.|WR|304|171.2|7.3|87.7
4429022|Kayshon Boutte|WR|305|170.6|10.3|139
4430968|Kimani Vidal|RB|307|171|3.1|36.4
4682745|Jaylen Wright|RB|308|170.6|2.4|45.8
4686728|Gunnar Helm|TE|310|170.8|5.8|126.9
4360635|Chig Okonkwo|TE|311|170.2|8.8|120.9
4576297|AJ Barner|TE|312|169.7|7|113.8
4685720|Bryce Young|QB|313|168.9|10.2|238.1
4688380|Cam Ward|QB|315|169.2|9.7|219.6
2578570|Jacoby Brissett|QB|317|169.9|4.8|198.5
4711533|Ollie Gordon II|RB|319|170.7|1.5|33.8
3116389|Samaje Perine|RB|320|171.2|5.2|100.3
4569603|Malik Washington|WR|322|170.1|8.1|113.9
2977187|Cooper Kupp|WR|326|169.3|11.7|101.5
4430034|Xavier Legette|WR|327|170.7|2.1|94
4361409|Jahan Dotson|WR|328|170.7|1.1|92.8
4249417|Jalen Tolbert|WR|330|170.6|1|89.5
3916945|Darius Slayton|WR|333|170.6|1.4|80.1
-16027|Buccaneers D/ST|DEF|336|170.4|13.3|93
-16009|Packers D/ST|DEF|337|169.3|17.2|90.3
17372|Chris Boswell|K|338|164.5|38.5|142.8
3150744|Chase McLaughlin|K|339|170.2|16.3|142.2
-16030|Jaguars D/ST|DEF|359|167.9|52.7|78.5
-16018|Saints D/ST|DEF|361|170.6|3.4|89
4360234|Evan McPherson|K|363|169.3|19.4|141.8
10621|Nick Folk|K|364|170.3|4.8|141.3
4367209|Greg Dulcich|TE|365|170.5|3.4|119
2576925|Darren Waller|TE|366|170.4|2.8|114.5
4243331|Cade Otton|TE|368|170.3|2.5|102.1
15864|Geno Smith|QB|379|170.1|3.7|233.2
4837248|Fernando Mendoza|QB|383|168.4|10.2|187.5
8439|Aaron Rodgers|QB|385|169.2|6.8|218.8
-16020|Jets D/ST|DEF|408|170.2|2.9|82.6
-16025|49ers D/ST|DEF|409|169|7.4|83.1
4869461|Trey Smack|K|410|168.1|12.8|144.3
3050478|Jake Elliott|K|411|169.9|1|139.6
3051876|Evan Engram|TE|412|170|3.1|106.5
3123076|David Njoku|TE|414|169.7|5.3|104.3
3116164|Mike Gesicki|TE|417|170.2|1.6|96.5
4429086|Michael Mayer|TE|418|170.2|1.1|80.9
4040655|Darnell Mooney|WR|419|170.4|2.5|63.7
4241479|Tua Tagovailoa|QB|422|170.1|1.7|115.2
-16006|Cowboys D/ST|DEF|424|167.2|11.8|78.1
-16011|Colts D/ST|DEF|425|170.1|2.8|76.1
-16016|Vikings D/ST|DEF|426|169|14.1|74.4
